Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
Duane 'Bang' Ludwig,Duane Ludwig,Bang,5.1,170.0,Orthodox,21,14,0,False,1.67,0.11,34.11,0.11,0.0,52.11,0.38,0.31,0.35,0.4,0.33,0.37,0.19,0.11,0.0,Welterweight,Male,Hybrid
Mike 'No Nickname' Lullo,Mike Lullo,No Nickname,5.8,145.0,Orthodox,8,3,0,False,3.0,0.0,31.5,1.0,0.5,300.5,0.5,0.26,0.6,0.86,0.48,0.4,0.0,0.0,0.0,Featherweight,Male,Striker
Santiago 'BorderBoy' Luna,Santiago Luna,BorderBoy,5.9,135.0,Orthodox,7,0,0,False,1.0,2.0,15.0,0.0,0.0,47.0,0.37,0.34,1.0,1.0,0.27,1.0,0.75,0.0,0.0,Bantamweight,Male,Striker
Dalcha 'Champion' Lungiambula,Dalcha Lungiambula,Champion,5.8,185.0,Orthodox,11,6,0,False,2.43,0.14,30.71,1.43,0.0,153.0,0.47,0.38,0.72,0.63,0.37,0.68,0.39,0.14,0.0,Middleweight,Male,Striker
Vicente 'The Silent Assassin' Luque,Vicente Luque,The Silent Assassin,5.11,170.0,Orthodox,23,11,1,False,2.17,0.43,47.52,0.61,0.43,105.7,0.49,0.41,0.62,0.8,0.45,0.62,0.48,0.43,0.04,Welterweight,Male,Striker
Thaddeus 'No Nickname' Luster,Thaddeus Luster,No Nickname,6.3,210.0,Orthodox,0,1,0,False,1.0,0.0,0.0,0.0,0.0,125.42293236127986,0.44435156249999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Open Weight,Male,No Clear Style
Travis 'The Serial Killer' Lutter,Travis Lutter,The Serial Killer,5.11,185.0,Orthodox,10,6,0,False,2.0,0.17,3.17,1.0,0.33,138.0,0.23,0.16,0.3,0.0,0.07,0.14,0.18,0.33,0.17,Middleweight,Male,No Clear Style
Tucker 'Top Gun' Lutz,Tucker Lutz,Top Gun,5.8,145.0,Orthodox,12,4,0,False,2.75,0.0,45.0,1.75,0.0,64.25,0.5,0.36,0.77,0.8,0.45,0.89,0.19,0.0,0.0,Featherweight,Male,Striker
Stevie 'No Nickname' Lynch,Stevie Lynch,No Nickname,5.1,170.0,Orthodox,5,2,0,False,1.0,0.0,7.0,0.0,0.0,19.0,0.25,0.2,1.0,0.5,0.25,0.0,0.0,0.0,0.0,Welterweight,Male,Hybrid
Chris 'Lights Out' Lytle,Chris Lytle,Lights Out,5.11,170.0,Orthodox,31,18,5,False,2.4,0.1,40.9,0.45,1.55,85.45,0.42,0.29,0.66,0.52,0.35,0.48,0.32,1.5,0.4,Welterweight,Male,Wrestler
